time, x, y
2024-07-22-11-21-56,0.06725717385609944,1.52e-05
2024-07-22-11-21-59,0.11846027771631877,1.53e-05
2024-07-22-11-22-02,0.16747436920801798,1.53e-05
2024-07-22-11-22-05,0.2171542763710022,1.52e-05
2024-07-22-11-22-08,0.2673939824104309,1.51e-05
2024-07-22-11-22-11,0.3184416135152181,1.51e-05
2024-07-22-11-22-14,0.36730544567108153,1.52e-05
2024-07-22-11-22-17,0.4173001209894816,1.51e-05
2024-07-22-11-22-20,0.46726606289545697,1.5e-05
2024-07-22-11-22-23,0.5189874609311421,1.52e-05
2024-07-22-11-22-26,0.5673288861910503,1.51e-05
2024-07-22-11-22-29,0.6175950924555461,1.49e-05
2024-07-22-11-22-32,0.667291001478831,1.49e-05
2024-07-22-11-22-35,0.7189210971196492,1.5e-05
2024-07-22-11-22-38,0.7674857219060262,1.5e-05
2024-07-22-11-22-41,0.8174153606096903,1.49e-05
2024-07-22-11-22-44,0.8676605582237243,1.5e-05
2024-07-22-11-22-47,0.9193132122357687,1.53e-05
2024-07-22-11-22-50,0.9681076288223267,1.53e-05
2024-07-22-11-22-53,1.0183340867360433,1.52e-05
2024-07-22-11-22-56,1.0679558118184407,1.53e-05
